text ,bullying,,,,
Samah Alhonjol شوفي شو حلو,0,,,,
Samah Omran نفس العرس اللي حكيتلكن اياه,0,,,,
Sana Kabaweh شوفي شقد طالعة عسل,0,,,,
Sara Al Fahel Hasan Rama Fallaha Alaa Kartumeh Issam Alassad  طلعت مو بس شقية وبتغني ههههههه,0,,,,
"Sara Rshwani Sara Rshwani 
Amjad Kassab شوفو لون شعره",0,,,,
Sara Shrateh ولك غيبببت,0,,,,
"Sarah Abu Alrob  بمناسبة مبادرتنا
ما بعرف ازا كنتي شايفتيه من قبل",0,,,,
"Sedra Hrdan
شقد حلو صوتا",0,,,,
Seema Abutteen شوفي محلا الفيديو,0,,,,
Sereen Amro ذكرتني بعروس الساعه سبعه كان عرسها مخلص ههههه قبل لتغيب الشمس,0,,,,
Shadi Hemiah الكيك,0,,,,
Shadi Khoury  لساتك حاطا,0,,,,
Shahd Bani Sakhr ام احمد نفسي ما تخلي ستر مغطى,0,,,,
Shaima N Atatreh ما احلاه ❤,0,,,,
Shatha RasRas  بحس ام احمد مثل حظنا متتت,0,,,,
Soha El-waraki فين العركه ده مانمتش يومين,0,,,,
Soos Bustami Khalili شوفي مااحلاهم,0,,,,
Soufia Zrigat Om Wsamسمعي ههههههههه ههههههههه ههههههههه ههههههههه,0,,,,
Soumaya Al-Rifai ههههههههه زلختي يا انشراح قعدوا معون,0,,,,
Suha Hameedشوفي حضري حالك باجر,0,,,,
Suha M Barham شوو معبر وحلو الفيديو,0,,,,
Suzan Alawadi سريعة جدا,0,,,,
Tareq Zeyad Abuayyash  شووف كيف,0,,,,
Täšbêh Šůlēimãń Šhrêęmثقتي بربي سر سعادتي شوفي ما احلاااه,0,,,,
Telescope - تلسكوب  انا بقترح تعيدو النظر   بمنشوراتكم لان صاير كتير اوفر .....,0,,,,
This low life creature is a joke to most Palestinians,0,,,,
Toto Abu-diah  شوفي,0,,,,
UM Fay امها كركية,0,,,,
Um Rami Shamasnaزيك,0,,,,
Um Rawa'a AIshorman ... نسرين خضير      ه‍ههههههههههههههه,0,,,,
Wafa M. Awad  أروى عوض,0,,,,
Wafaa Alhakem شو رأيك بقصة ام احمد,0,,,,
Waleed Alahmad احكي لريان.  برجا,0,,,,
Walla Aldeek,0,,,,
Weaam Alhayaly Sura Al Neaamy هاي الي كتلكم شخصيتها نفس الواقع,0,,,,
Wesal Al-khwaledh Um Saif,0,,,,
Wesam Jamous بلال النواصره عدي ابوعرة Idrees Abou Ora اهم شي صوت البراد وثلثين قرش,0,,,,
Yana B.  Yafa  Deema  هو في احلى ❤️,0,,,,
Yara Abohussein   بمين بتذكرك أم أحمد,0,,,,
"Yasmeen Mohammad
Ruba Duha   حددو اللفظ هههههههههههه",0,,,,
Yasmin Mj ❤️❤️ الجمال كله بهيك فيديو ❤️,0,,,,
"Zozo Al-Hussieny 
كريم ممدوح شكر  وبعدين",0,,,,
َرودة وردة دمشقية,0,,,,
ٱلَّذِينَ يَتَّخِذُونَ ٱلْكَٰفِرِينَ أَوْلِيَآءَ مِن دُونِ ٱلْمُؤْمِنِينَ ۚ أَيَبْتَغُونَ عِندَهُمُ ٱلْعِزَّةَ فَإِنَّ ٱلْعِزَّةَ لِلَّهِ جَمِيعًا,0,,,,
أخزيت حالك,1,,,,
ااااااااااااااخرس يامرررررروح,1,,,,
اااااااخ متت روعه الله يفضي باله,0,,,,
اااااااخ ياقليي فقع من ضحك,0,,,,
اااااخ انو عندي تعليق بس لو في غير هل مكان,0,,,,
اااااه كمل مصدقينك,0,,,,
ااااخ بطني شخيت ضحك,0,,,,
ااااخ ياابو الحسن راحت المرجله بهذ الزمن,1,,,,
"ااااه كاين ترن علي عشان تشاورني باتفاق اوسلو؟
ليش انتو بتشاورو حدا؟",0,,,,
اااخ لو. فيني فوت من شاشه وحط اجري بتمك وبتمو قمه التافها  والسخافه دكتور فود,1,,,,
"اااخ مش قادرة 
سخسخت",1,,,,
االا لعنت الله عليك قسما باالله بيصير  وجع معده بس اشوفه,1,,,,
االفليفله الوان ماوضعت تسلم ايدك,0,,,,
االله يلعنكم يا عرب,1,,,,
اانا تونسية ابا عن جد و اتشرف باني تونسية و اقولها : إلى مزبلة التاريخ يا عديم  الشرف.انتم لا تمثلون المسلمين .انتم بعتوا دينكم و عقيدتكم.فلسطين وعاصمتها القدس قضية كل مسلم حر.سوف تحاسبون عاجلا او آجلا.,0,,,,
ابت النذاله ان تفارق اهلها,0,,,,
ابتعرف  هي من مين على مين  ولا حافظ مش فاهم,0,,,,
ابداااااااااع,0,,,,
ابدااااااااع من الآخر ما شالله,0,,,,
"ابدااااااااع❤❤❤

شي بقشعر البدن♥️♥️♥️

الله يحماهم",0,,,,
"ابداااااااع 
محلاه ومحلاكم",0,,,,
ابداااااع,0,,,,
ابدااااع,0,,,,
ابدااااع ...يسلم ايديكي ..مؤثره,0,,,,
ابدااااع تسلم ايدك على كل شي,0,,,,
ابدااااع مشالله عنكم كل الاحترام,0,,,,
ابداااع ❤️,0,,,,
ابداااع❤,0,,,,
ابدااع تمثيلها ❤️‍,0,,,,
ابداع,0,,,,
ابداع ❤,0,,,,
ابداع ابداع ابداع يسعد قلبك احلى بانا الفيديو بجنن وانتي انسانة رائعة بكل معنى الكلمة,0,,,,
ابداع بكل معنى الكلمة❤❤,0,,,,
"ابداع بمعنى الكلمه
الله يوفقك يا رب ويسعدك ⁦♥️⁩⁦♥️⁩⁦♥️⁩⁦♥️⁩",0,,,,
ابداع جد شي روعه ⁦♥️⁩⁦♥️⁩⁦♥️⁩⁦♥️⁩⁦♥️⁩⁦♥️⁩⁦♥️⁩⁦♥️⁩⁦♥️⁩,0,,,,
ابداع جدآ رائع⁦♥️⁩⁦♥️⁩,0,,,,
ابداع روووعاتك بانا,0,,,,
ابداع فوق الوصف Bana Zalabia الله يحماهم لاهاليهم ويشوفوهم بااعلى مراتب بالحياة ويفرحة فيهم احلى فرحه,0,,,,
ابداعتي ابداعتي بانه الفيديو جداً رائع ❤️❤️,0,,,,
ابدتع,0,,,,
ابدع,0,,,,
ابدعت,0,,,,
ابدعت ابو جوليا,0,,,,
ابدعتوا ...رائع جدا⁦❤️⁩,0,,,,
ابدعتورائع,0,,,,
ابدعتي,0,,,,
"ابدعتي  فعلا انتي انسانه اكتر من رائعه .
فيديو بحرك المشاعر قد ما هم ملائكة و فيهم براءة ❤❤",0,,,,
ابدعتي ....بجنن الفيديو,0,,,,
ابدعتي انتي انسانه راقيه جدا,0,,,,
ابدعتي بانا,0,,,,
ابدعتي بانا  روعه,0,,,,
"ابدعتي بانا بجنن
رائعة كالعادة",0,,,,
ابدعتي بانا جدا جدا رائع ....good luck  Mai Bleibleh رائعين ...الله يحمالك اياه,0,,,,
ابدعتي بانا فيديو رائع,0,,,,
ابدعتي بانا فيديو رائع وهادف,0,,,,
ابدعتي بانا♥️ الله يحماهم احلى قلوب,0,,,,
ابدعتي بانه ..روعه الفيديو,0,,,,
ابدعتي بجنن,0,,,,
ابدعتي بنبون كالعادة ❤️❤️,0,,,,
ابدعتي فعلاااا فيديو رائع ❤,0,,,,
ابدعتي كل الاحترام,0,,,,
ابدعتي والله❤️,0,,,,
ابدعتي ولامستي قلوبنا⁦❤️⁩,0,,,,
ابدعتي.....كل الاحترام,0,,,,
ابدعتييييييي,0,,,,
ابزنيط يلهدك عليش بتجعري,1,,,,
ابشر مسافة الطريق تعال خذهم,0,,,,
"ابشرك لو بقيت تاكل كل اللي تطبخه يوما ما لن تتسع لك شاشة الجوال 
صحة وهنا وتسلم ايدك",0,,,,
ابشع رجل اشوفة,1,,,,
"ابشع شي انو تقولو للممثل غني
لا عندو صوت ولا اداء ولا مهنتو لشو الاحراج
كترة غلبة بالاسئلة ولا شو ؟
يا ناس ارتقوا بالفكر الله يخليكن ...",1,,,,
ابشع مطربه شفته على وجه الارض واوسخ مطربه,1,,,,
ابصر ليش ما بحب الاكل المشلفق..لازم يكون متعوب عليه..,0,,,,
ابصر منين سارقتو بتضحك عالناس وبتلم مصاري من المشاهدات والمتابعات والهبل تبعهم والناس الغبيه مش لاقيين يوكلو وهمن مستفدين من اللايكات ها ها,1,,,,
ابطال,0,,,,
ابعتهالو,0,,,,
ابعد عن الشر وغنيلو وسيبك من هل الاشكال,1,,,,
ابعد عنها لا ترخص بحالك برقاصة,1,,,,
ابكي بترتاح وروح عند اعوانك بتل ابيب,0,,,,
ابلغنا من اخذ راي الشعب في عقد اتفاق اوسلو و هل  هذا جائز شرعا وقرار الحرب حرمه الشرع حسب علمك,0,,,,
ابن,1,,,,
ابن البغل الشاذ,1,,,,
ابن الشرشوحة,1,,,,
ابن الكلب,1,,,,
ابن المخابرات الصهيونية هي من صنعته,1,,,,
ابن جيرانهم,0,,,,
ابن حرا. م,1,,,,
ابن حرام,1,,,,
ابن حرام  واحد هلس,1,,,,
ابن خنزيره ابوك وابو الجابك,1,,,,
ابن سلول يتألق فيقذف برازه من فمه,1,,,,
ابن شرموطه,1,,,,
ابن صه يون انت شكلك,1,,,,
ابن صهيونيه اطمن على جنودك هان الي معهم يا صهيوني,1,,,,
ابن عا  هره,1,,,,
ابن عاهر.   ه,1,,,,
ابن عم نتنياهو,1,,,,
"ابن كلب انت واسيادك والمشايخ اللي بقولوا عنكم ولاة أمور ، لأنهم أحقر منكم لسا .",1,,,,
ابناء القحبة انتم,1,,,,
ابناء القردة,1,,,,
ابناء القرده والخنازير,1,,,,
ابنك منغولي متل ماعم بقولو عيونه بتخببن,1,,,,
ابننا البطل ...عمرى ما فقدت الثقه فى وطنيتك وعارف إنك هتقدم كتير الفتره الجايه ,0,,,,
ابنهم حنا راسو زي قلب الحب,0,,,,
ابو Abu Julia أبو جوليا ابني فارس عمره اربع سنين داورني بأكلاتك كل ما يفتح تلفوني بقلي حطيلي *أبو الطبيخ* ابو جوليا خليني أقلك شو تطبخيلي اليوم,0,,,,
"ابو التفااات 
أبت الحقارة أن تفارق أهلها",1,,,,
ابو الحس اخرس,1,,,,
ابو الفراجين ... انت فعليا هون اكلت كندره ..,1,,,,
ابو الفراجين انت محترم ليش بتطلع مع ناس تافه,1,,,,
ابو الفناجين والله ما نقصت هاي غيرك انت,1,,,,
"ابو القتلات 
ما ظل في الخم غير ممعوط الذنب",1,,,,
ابو الكتلات,1,,,,
ابو الكذب,1,,,,
ابو الهبابيش الدنيا مش دايمة لا الك ولا غيرك ارتجع عن حركاتك,0,,,,
ابو الي خلفك فقندرة,1,,,,
ابو الي ربط الحمار  وفلتك سعر احمار اجرب مابتسوى,1,,,,
ابو انس هههههههههههه شغله زي هاي هم بحكولك اياها انت عاقل يا ابو انس,0,,,,
ابو بربر,1,,,,
ابو بربور,1,,,,
ابو بربور حط كندر في ثمك,1,,,,
"ابو بزقه يعود مع ابو جدايل 
الجزء الثاني",1,,,,
ابو تريسكا صار يقيم مطاعم,0,,,,
ابو تفة,1,,,,
ابو تفه,1,,,,
ابو جهل بهون عنكم,1,,,,
ابو جور ابو الجور جوري Osama AB حلفت ما بشوفو لحالي فظيع يا زلمه عليي طلاق ما بغني اذا ايديك مو لفوق,0,,,,
ابو جولبا بدي مقادير المقروطة,0,,,,
ابو جوليا اطبخ واعمل وصفات عادي بس لا توكل فيناس بتطلع عليك حرام يزم,0,,,,
ابو جوليا امشي معك ولا مع عبدالله طلبة حيروتوني!,0,,,,
ابو جوليا انا بشوف فديوهاتك والله بقول ماشالله تتهنى يارب....بس انا اختك من السودان والله فقيره انا اولادي بناكل وجبه واحده في اليوم غالبا عدس او طماطم بعيش ..بتمني عليك تتصدق علي والله لولا الحاجه وضيق اليد مابطلب منك بستحي بس اتوسمت فيك الخير وداخل علينا رمضان تلاجه ماعنديوماعندي في البيت الا ملح والله العظيم...انا لم كنت في الجامعه كان عندي رقم حساب.اذا ربنا سخرك لي برسله لك..مستنيه ردك,0,,,,
ابو جوليا انت داهيه  شهيتنا اياها خلص قريبا بنجربها,0,,,,
ابو جوليا انت مدرسة حقيقية في عالم المطبخ اسلوب الشرح العلمي المبسط تستحق ان تكون ماستر شيف,0,,,,
ابو جوليا انت مش بتتخن ليه انا تخنت وانا بتفرج بس,0,,,,
ابو جوليا خلص يعني اروح على لندن عشان اكلها,0,,,,
"ابو جوليا مابيلزمك مساعد ذواق للطعم يعني انت تطبخ وانا ساعدك ودقلك الأكل ؟؟
بسم الله ماشاء الله فنان ❤",0,,,,
ابو جوليا ملك الطبخ,0,,,,
ابو جوليه أنا نفسي أتزوج طباخ شاطر مثلك تعرف ليش أحب الاكل بس ما احب اطبخ,0,,,,
ابو حاتم الاحمد  لاحظ,0,,,,
ابو حمزة بكرا بدنا نسويلك عرس متل هادا الله لا يوفقك,1,,,,
ابو شاربك,1,,,,
ابو شخه,1,,,,
ابو شخه بطلعلك...الله يلعن بترولك,1,,,,
ابو شعر ده كان ممثل وين,0,,,,
"ابو عبادة الصعبي  انت عندك مطرب متل هذا ،",0,,,,
ابو علي أبو مظفر شروق جاي ع باله سوشي,0,,,,
ابو عهد الدردور شوف بياخه,1,,,,
ابو فص خلي البنغال والهنود يضلو يلعبو عليكو اكيد ابوك هندي أو بنغالي يابغل,1,,,,
ابو قرع منو راس حبة فول,1,,,,
ابو كتركسا,0,,,,
ابو كسها مرتك,1,,,,
ابو لهب,1,,,,
ابو لهب  لو سمعك كان اسلم,0,,,,
ابوادم,0,,,,
ابوالشباشب يضرب من جديد,1,,,,
ابوباسل ضيف الله,0,,,,
ابوجهل وابولهب لو موجودين دلوقتي هيبقي عندهم رجولة احسن من ناس كتير,1,,,,
ابوجوليا  متل فلك بيطبخ بكامل اناقته,0,,,,
ابوجوليا طريقتك بالأكل مدمرة  راح إطلع هسه للسوق واعملها اليووووم ضروري مدا أتحمل,0,,,,
ابوك على ابوها,1,,,,
ابوك مخنزر,1,,,,
ابومنيررر شد لاحزمه  سمعني نغمم,0,,,,
ابوه خريت بل. الخرا,1,,,,
ابوه صهيوني,1,,,,
ابيخ إنسان بل عالم,1,,,,
ابيخ مطربه تضربي بهل شكل,1,,,,
ابيخ من البياخه,1,,,,
ابيخ من هيك مافي سبحان الذي خلقك شو ما بتنهضمي,1,,,,
ابيخ منكو ما فيش,1,,,,
ابيخ وحدي تعمل هل تريند,1,,,,
ابيييي تسلم ايدك ياشيف روعه جدا,0,,,,
اة لازم كالولك عشانك بتحفظ السرر أمين كثير يا هبوش بعدين هوو باكي عيد ميلاد يعزموك علية إخزززا على هبوشتك,1,,,,
اتأخرت كتير بس حمد الله ع السلامة,0,,,,
اتباع ابن سلول,1,,,,
اتجنن,0,,,,
اتجننن,0,,,,
"اتحداكي ان تظهري جواز السفر لانه مكتوب فيه
الجنسية.. إسرائيل 
الاب ..إسحق الياهو
الام. جولدا مائير",1,,,,
اتحدوا وتركوا الخلاف,0,,,,
اتخيل لو اخذو رأي الهباش..,0,,,,
اتركوا الحركه في جهادها ضد الد أعداء للبشر.. بعدين انتو الكم ٢٠ سنه شو أخذتوا  من الصهاينه غير الذل والانكسار.,1,,,,
اتريح بدناش فلسفه,0,,,,
اتزوج بعض في نار جهنم,1,,,,
اتساءل كم من الاخطاء يمكن ان يرتكبها شخص واحد؟,1,,,,
اتشدش عحالك ليطقلك عرق,0,,,,
اتشدش على حالك كثير,1,,,,
اتشرف أن أكون بربرية على أن أكون راقصة في سوق النجاسة,1,,,,
اتصدقي لو مكانك معاش نطلع ع نت,0,,,,
اتصلو عليك وما رديت,0,,,,
اتعتقد ان هناك احد يحتاج الى مشاكلك؟,1,,,,
اتعتقد ان هناك احدا يحتاج اليك؟,1,,,,
اتعتقد ان هناك اي شخص يريد العمل معك؟,1,,,,
اتعتقد ان هناك اي قيمة في تواجدك في هذا المكان؟,1,,,,
اتعتقد ان هناك من سيحب ان يكون بجوارك؟,1,,,,
اتعتقد حقا ان هناك اي شخص يحب ان يكون بجوارك؟,1,,,,
اتعتقد حقا ان هناك اي فائدة من ان تكون هنا؟,1,,,,
اتعتقد حقا ان هناك من سيتقبل وجودك في حياتهم؟,1,,,,
اتعتقد حقا ان هناك من يستفيد من وجودك هنا؟,1,,,,
اتعكر صباحي,0,,,,
اتعلمت الشرمطه من اليهود,1,,,,
اتعود عالبزقات,1,,,,
اتفfووووو,1,,,,
اتفاقيه اوسلو اخدتو رائ الشعب,0,,,,
اتفرغ لتحدي الاحتلال لحالك خليك فاتح رجليك,0,,,,
اتفرغ للهبش يا هباش,0,,,,
اتففففففففففوا,1,,,,
اتفهك,1,,,,
"اتفهم رغبتكم بالانتقام، رد الاعتبار، او حتى بتدمير الكيان عن بكرة ابوه…

لكن وين العقلانية في هجوم على حفل موسيقي، لا يتجاوز اقصى حد له بقتل او اسر ابرياء.
 لو كل فلسطيني غير مؤدلج سال نفسه :
- هل كانت العملية في سياق حرب تحرير؟ 
- هل كانت في سياق دفاع عن النفس؟
- هل كانت لدعم اخوان لهم في الضفة؟ 
- ماهو اقصى مايمكن تحققه؟ 
لو اجبت على الاسئلة راح تعرف بنفسك انها عملية بربرية.

 طوفان الاقصى، ولم نرى الا طوفان بشري متجه الى جنوب قطاع غزة…

تحرير الاقصى، وراينا مزيدا من تمدد الكيان…

تحرير اسرانا، وتم قتل واسر اكثر من ١٠ الاف فلسطيني…

وتستغربو اذا احد قال انها عملية بربرية",0,,,,
اتفو على كساس خواتكم وعلى كسك يا اخوات الشرموطة ضيعتو صيامنا اختفووووووووو,1,,,,
اتفو على لحيتك الي زي شعر الخنزير,1,,,,
اتفو علي وجهك علي الصبح هي الي شاطيرن بس اطلعوا الرهاين امه خون,1,,,,
اتفو عليك وعلى فتح الي انت منها,1,,,,
اتفو عليكم شحادين,1,,,,
اتفو عليكو الاثنين,1,,,,
اتفوه....بلد الدعاره....,1,,,,
"اتفووووو عليك  يا ولي عهد البحرين
اول مره بشوف هيك اشكال ،،، مطبعين مع الاحتلال",1,,,,
اتفووووو عليك انت وابوك,1,,,,
اتفوووووو,1,,,,
اتفوووووو على لحتك,1,,,,
اتفووووووا,1,,,,
اتفووووووو عليك وعلى امثالك,1,,,,
اتفوووووووو,1,,,,
اتفووووووووووو عليك يا عميل أمر...يكا وال..ي..ه..ود,1,,,,
اتفوووووووووووووا,1,,,,
اتفوووووووووووووووووووووووووووو,1,,,,
اتفوووووووووووووووووووووووووووووووووووووه,1,,,,
اتق الله واخجل إنت ورئيسك من أقوالكم وأفعالكم,1,,,,
اتق الله وكن صاحب موقف واضح,0,,,,
اتقي الله,0,,,,
اتقي الله فينا عذبتنا,0,,,,
اتقي الله وعمل لا اخرتك ياختيار الجن,0,,,,
اتقي ربك,0,,,,
اتقي لله ياهذاااا,0,,,,
اتكيت,0,,,,
اتمنى الشفاءلجميع اليوتيوبرز شواستفدنا,0,,,,
اتمنى ان تكون الاراء  والتعليقات بعيدة عن الاساءات لان هذه الأسرة والعائلة تستحق الاحترام كابرا عن كابر. الذي يحصل في فلسطين وفي غزة خاصة جريمة الجرائم وقد وصفها سمو الأمير وصفا دقيقا.,1,,,,
اتهبل مشاءالله عليها,0,,,,
اثار نظام الصيفي شوفي محلاها,0,,,,
اثقل واغلط مين عمل الترند,1,,,,
اثمج تكول جيس قارات,1,,,,
اثنين ازنخ من بعض,1,,,,
"اجا لعندي خيي مبارح الي شي شهر عم قلو جبلي خط مشان فعل باقة ٢٠ الف دينار ويطلعلي هيك مقطع 
هيك كتيررررر",0,,,,
اجببببد ابوك يا الموت,1,,,,
اجبد,0,,,,
اجبيد,0,,,,
اجت الحكومة.     لفوق,0,,,,
"اجتماع ( عماد ،،الأسنان 5 كغ)  والشرنه يلي ما بعرف اسمها ( الفم الكبير . مغارة جعيتا ) احلا دويتو",1,,,,
اجتماع الخنازير,1,,,,
اجتماع عمالقة ثقالة الدم,1,,,,
"اجتماعاتكم شغل فعاليات 
عطل، احتفالات ،احصاءات",0,,,,
اجتمع البيض مع السردين,1,,,,
اجتمع عام للزباله الوسخه,1,,,,
اجتمعة القرود,1,,,,
اجدادك من يهود خيبر يا بنت الكلب  يارب زلزال ١٠ريختر يضرب كل الدول الي خذلتنا يا الله واولهم الامارات الإسرائيلية,1,,,,
اجري بهل وش وهل شخصيه اقرف من علكه مايعه دايبه من الشمس اي القرف دا,1,,,,
اجرينا ل فوووووق,0,,,,
اجلق مخلوقة ع الارض,0,,,,
اجمل عالم معنى الحب بحد زاتو ❤❤,0,,,,
اجمل فش اند شبس في لندن,0,,,,
اجمل فيديو حضرتو بحياتي,0,,,,
اجمل ما قدمت,0,,,,
اجمل ممثلة لبنانيه بصراحه,0,,,,
اجمل ممثله بالكرة الارضيه,0,,,,
اجمل ممثله عندي,0,,,,
اجمل واهضم ممثله ❤️,0,,,,
اجنن,0,,,,
اجنون الي ايخابطك انتي وعلمك بتشدي عليها,1,,,,
اجي فين طيب,0,,,,
اح,1,,,,
احا,1,,,,
"احا بصوت باسم يوسف
كل الارواح مقدسة !!!!",0,,,,
احا ما ابردك......,1,,,,
احا ما في حد بيضحكني قدووو,0,,,,
احا يا بايخ,1,,,,
احا يامسرمج يهامل,1,,,,
احا ياهمل ......,1,,,,
احااا,1,,,,
احااا كملت,1,,,,
احاااا,1,,,,
احااااا مسكعكم,1,,,,
احااااا يا مايص,1,,,,
احااااا يافحماوي,1,,,,
احب حنا,0,,,,
احبج,0,,,,
احبك جدا,0,,,,
احبك كثيرا من الجزائر,0,,,,
احبك والله,0,,,,
احبها كلش❤️,0,,,,
احتار قاموس الهجاء فيكم يا اولاد الحرام,1,,,,
احترم دم الشهداء,0,,,,
احتياط اختك على اخت كل واحد زيك,1,,,,
احسن أو اروع أو حلى فنان .,0,,,,
احسن شي تخرس,1,,,,
احسن شي من غيرسوالف كتير,0,,,,
احسن شيف بالدنيا,0,,,,
احسن شيف لا تصنع ولا كلمات إنكليزية اضافة لكفاءات العالية,0,,,,
احسن فنان كوميدي,0,,,,
احسن لك اخرس ما حد طالب راءيك   خير ما فيكم خير  دخانكم بعمي العينين  الله يعم نور عيونك,1,,,,
احسن مساعدة بتقدميها للشعب هي ورقة استقالة عطوفتك لانه من يوم ما شفناكي ما شفنا الخير الحمد لله !,1,,,,
احسن واحده عملت ترند,0,,,,
احسن..... اذا اندليت على بارات لبنان هي هواتك,1,,,,
احسنت,0,,,,
احسنت القول والعمل خلى الشعب يقارن فى النتيجة,0,,,,
احسنت كابتن. ,0,,,,
احسنت لا تتوقف عن المساندة والدعم ,0,,,,
"احسنت يا حبيبي 
ربنا يحرسك ويحفظك",0,,,,
احسنت يا محترم,0,,,,
"احسنت، انت تجعل الجميع حولك يشعر بالاستياء",1,,,,
احسنلك تترك الاحلام وتنشغل بحياتك الواقعية,1,,,,
احسنلك تسكوت وتنام,1,,,,
احسنلك تعتبر الحياة مجرد مزحة سيئة,1,,,,
"احسنلك تنسى الطموح، وتتعايش مع الواقع",1,,,,
احشوهن في طيزكو,1,,,,
احشيه من ورا ابن ال...,1,,,,
احطيتي الفليفله,0,,,,
احفاد القردة والخنازير,1,,,,
احفاد بني قريظه وخيبر.لعنه الله ع شيبتك.,1,,,,
احفاد قريش و ابو لهب رعاة البقر صارو يحكو ويتفلسفوو ولكم ريحة طيازكم لهون واصلة منتو لليوم بتعرفوش تتحموو  تفة  عليكم اخوات مطبلة عرصات,1,,,,
احفظ بقايا من مية وجهك واصمت وخليك غرقان في نعيم الملايين وبلاش إتنظر على اشراف الامه.شاهت الوجوه وغابت عن أعيننا.,0,,,,
احقر مخلوق على وجه الارض منذو الخليقه لغاية القيامه,1,,,,
احقر من هيك شخصية ماشفت,1,,,,
"احقر واوسخ ناس 
اوقح ناس ",1,,,,
احكولو خرة على عقالك,1,,,,
احكي لو اخذو برأيكم شو صار,1,,,,
احلا اساذ,0,,,,
احلا اشي التلاجه,0,,,,
احلا اللي حاطط فردعلا خصرو فعلاََ مشهدحقيفي,0,,,,
احلا ام احمد,0,,,,
احلا ايام كان التواصل وجاهي .. لا جوال ولا نت والبساطه والروح الحلوه والجار الي يشد الجار.. كرت العرس كان يوصل من اربد للعقبه,0,,,,
احلا أطفال بدنيا #متلازم داون,0,,,,
احلا برنسيسة قمة الجمال,0,,,,
احلا تنين,0,,,,
احلا تؤام,0,,,,
احلا جفت,0,,,,
احلا حلقة,0,,,,
احلا دخلت الفرحة على قلوبنا الله يرعاكو,0,,,,
احلا رجل واطيب قلب دكتور فود,0,,,,
احلا زلمه واحلا فريق عمل,0,,,,
احلا زلمي,0,,,,
احلا شب واحلا ممثل الله يوفقك على دماتك الحلوة,0,,,,
احلا شي اسم ابنك حناا,0,,,,
احلا شي انو خايفين ع ابنن من العين,0,,,,
احلا شي بالكون ❤️❤️,0,,,,
احلا شي بالموضوع البدله الخضرا,0,,,,
احلا شي بدلة حمو بيكا هههههههههه,0,,,,
احلا شي طلعت بيسان بهل تريند,0,,,,
احلا شي فيكي علا بساطتك بتجنني  ربي يحفظك اجمل واشكر شيف,0,,,,
احلا شي فيها البيره... كل الشعب رح يعمل هاي الوصفه,0,,,,
احلا شيف,0,,,,
احلا شيف الشيف علا,0,,,,
احلا شيف وانعم شف في رؤيا,0,,,,
احلا شيف يسعدها,0,,,,
احلا عالم,0,,,,
"احلا عالم بل عالم 
عطي من هطيب",0,,,,
احلا عالم نحنا.,0,,,,
احلا عباره شفتهاا في حياتي منك ياا بانااا كلامك حلو كثير,0,,,,
احلا عرس,0,,,,
"احلا عرس شفتو بحياتي ،",0,,,,
احلا علم,0,,,,
احلا علم ولله,0,,,,
احلا مسا,0,,,,
احلا مسلسل,0,,,,
احلا مطرب,0,,,,
احلا نظرة اخراء بلكون,1,,,,
"احلا واروع شف تسلم الايادي. ب
بس ما حطت الفلفل المشكل",0,,,,
احلا وحدة,0,,,,
احلا ياسمين مع اجمل عرايس سلم هالديات يارب هاذي اكلا المفضله النا في البيت,0,,,,
احلاااا حلقه فعلاااا,0,,,,
احلازلمي,0,,,,
"احلامك اكبر من امكانياتك، اعترف بالواقع",1,,,,
"احلامك كبيرة، بس الواقع صغير جدا",1,,,,
احلاهم العرب,0,,,,
احلف اول عشان اصدق,0,,,,
احلف ولا لقمه,1,,,,
احلفي الله يلعن صباحك وصباح الامارات معك صهاينة,1,,,,
احلق شواربك يا خاين,1,,,,
احلق قرونك,0,,,,
احلوااااات,0,,,,
احلوت حلوت بزيادة,0,,,,
احلوت.   كملت.  ..لا   اطمنا على فلسطين وشعبها والقضيه..,1,,,,
احلى  صباح لما  يكون  ابو طه مع ياسمين و  ابو  عون,0,,,,
احلى 30 قرش,0,,,,
احلى ام احمد الله يسعدك يا حجه,0,,,,
احلى ام احمد الله يسعدها,0,,,,
احلى أغنيه بسمعها هههههه,0,,,,
احلى بسام عرندي,0,,,,
احلى بنت بالترند هيي,0,,,,
احلى تحية بالألف دينار,0,,,,
احلى ثنائي الشف ياسمين وسمير المبدع,0,,,,
احلى حلقة,0,,,,
احلى حلقة و الله,0,,,,
احلى حلقه,0,,,,
احلى خفة دم ام احمد يسعد قلبك,0,,,,
احلى زلم,0,,,,
احلى زلمه,0,,,,
احلى زلمه بتاريخ,0,,,,
احلى زلمي صيف بتكيف,0,,,,
احلى ساره,0,,,,
احلى شي,0,,,,
احلى شي  العرب يا خي وناسه,0,,,,
احلى شي بالدنيا الانسان يعطي فرحه لقلوب صافيه ابدعتو كل الاحترام لالكم وربنا يقدرلنا ع فعل الخير ❤❤,0,,,,
احلى شي بشوفو باخر فتره عنجد ❤❤❤,0,,,,
احلى شي بهل المقاطع زوجتك يا تور فود هههه,0,,,,
احلى شي تدبيلة هالعيون وانتي عمتحكي . قمة النفاق,0,,,,
احلى شي حفله الشباب عند الفلسطينيه,0,,,,
"احلى شي فيكن كذبتو الكذبة وسدقتوا
اللي بشوفكن بقول معكن كذا بورد ك شيفية
 يطعمني ربع ثقتكن بس",0,,,,
